监控区域名称,监控区域编号,机组编号,机组名称,机型,是否停用,风机个体标识（43144为风力机）,自然风电场标识,省,备注,风机编号,风机设备功能位置标识
加拿大德芙琳风电场,15182283,WT10444,1.01,GE1.6-82.5ESS,0,4314410444,FLYAB01,加拿大,,G001,FLYAB01G001
加拿大德芙琳风电场,15182283,WT10445,1.02,GE1.6-82.5ESS,0,4314410445,FLYAB01,加拿大,,G002,FLYAB01G002
加拿大德芙琳风电场,15182283,WT10446,1.03,GE1.6-82.5ESS,0,4314410446,FLYAB01,加拿大,,G003,FLYAB01G003
加拿大德芙琳风电场,15182283,WT10447,1.04,GE1.6-82.5ESS,0,4314410447,FLYAB01,加拿大,,G004,FLYAB01G004
加拿大德芙琳风电场,15182283,WT10443,1.05,GE1.6-82.5ESS,0,4314410443,FLYAB01,加拿大,,G005,FLYAB01G005
加拿大德芙琳风电场,15182283,WT10429,1.06,GE2.75MW,0,4314410429,FLYAB01,加拿大,,G006,FLYAB01G006
加拿大德芙琳风电场,15182283,WT10442,1.07,GE1.6-82.5ESS,0,4314410442,FLYAB01,加拿大,,G007,FLYAB01G007
加拿大德芙琳风电场,15182283,WT10428,1.08,GE2.75MW,0,4314410428,FLYAB01,加拿大,,G008,FLYAB01G008
加拿大德芙琳风电场,15182283,WT10427,1.09,GE2.75MW,0,4314410427,FLYAB01,加拿大,,G009,FLYAB01G009
加拿大德芙琳风电场,15182283,WT10426,1.1,GE2.75MW,0,4314410426,FLYAB01,加拿大,,G010,FLYAB01G010
加拿大德芙琳风电场,15182283,WT10425,1.11,GE2.75MW,0,4314410425,FLYAB01,加拿大,,G011,FLYAB01G011
加拿大德芙琳风电场,15182283,WT10424,1.12,GE2.75MW,0,4314410424,FLYAB01,加拿大,,G012,FLYAB01G012
加拿大德芙琳风电场,15182283,WT10435,1.13,GE2.75MW,0,4314410435,FLYAB01,加拿大,,G013,FLYAB01G013
加拿大德芙琳风电场,15182283,WT10434,2.01,GE2.75MW,0,4314410434,FLYAB01,加拿大,,G014,FLYAB01G014
加拿大德芙琳风电场,15182283,WT10451,2.02,GE1.6-82.5ESS,0,4314410451,FLYAB01,加拿大,,G015,FLYAB01G015
加拿大德芙琳风电场,15182283,WT10433,2.03,GE2.75MW,0,4314410433,FLYAB01,加拿大,,G016,FLYAB01G016
加拿大德芙琳风电场,15182283,WT10453,2.04,GE1.6-82.5ESS,0,4314410453,FLYAB01,加拿大,,G017,FLYAB01G017
加拿大德芙琳风电场,15182283,WT10452,2.05,GE1.6-82.5ESS,0,4314410452,FLYAB01,加拿大,,G018,FLYAB01G018
加拿大德芙琳风电场,15182283,WT10430,2.06,GE2.75MW,0,4314410430,FLYAB01,加拿大,,G019,FLYAB01G019
加拿大德芙琳风电场,15182283,WT10450,2.07,GE1.6-82.5ESS,0,4314410450,FLYAB01,加拿大,,G020,FLYAB01G020
加拿大德芙琳风电场,15182283,WT10449,2.08,GE1.6-82.5ESS,0,4314410449,FLYAB01,加拿大,,G021,FLYAB01G021
加拿大德芙琳风电场,15182283,WT10457,2.09,GE1.6-82.5ESS,0,4314410457,FLYAB01,加拿大,,G022,FLYAB01G022
加拿大德芙琳风电场,15182283,WT10439,3.01,GE2.75MW,0,4314410439,FLYAB01,加拿大,,G023,FLYAB01G023
加拿大德芙琳风电场,15182283,WT10463,3.02,GE1.6-82.5ESS,0,4314410463,FLYAB01,加拿大,,G024,FLYAB01G024
加拿大德芙琳风电场,15182283,WT10464,3.03,GE1.6-82.5ESS,0,4314410464,FLYAB01,加拿大,,G025,FLYAB01G025
加拿大德芙琳风电场,15182283,WT10465,3.04,GE1.6-82.5ESS,0,4314410465,FLYAB01,加拿大,,G026,FLYAB01G026
加拿大德芙琳风电场,15182283,WT10466,3.05,GE1.6-82.5ESS,0,4314410466,FLYAB01,加拿大,,G027,FLYAB01G027
加拿大德芙琳风电场,15182283,WT10467,3.06,GE1.6-82.5ESS,0,4314410467,FLYAB01,加拿大,,G028,FLYAB01G028
加拿大德芙琳风电场,15182283,WT10468,3.07,GE1.6-82.5ESS,0,4314410468,FLYAB01,加拿大,,G029,FLYAB01G029
加拿大德芙琳风电场,15182283,WT10469,3.08,GE1.6-82.5ESS,0,4314410469,FLYAB01,加拿大,,G030,FLYAB01G030
加拿大德芙琳风电场,15182283,WT10470,3.09,GE1.6-82.5ESS,0,4314410470,FLYAB01,加拿大,,G031,FLYAB01G031
加拿大德芙琳风电场,15182283,WT10471,3.1,GE1.6-82.5ESS,0,4314410471,FLYAB01,加拿大,,G032,FLYAB01G032
加拿大德芙琳风电场,15182283,WT10472,3.11,GE1.6-82.5ESS,0,4314410472,FLYAB01,加拿大,,G033,FLYAB01G033
加拿大德芙琳风电场,15182283,WT10440,3.12,GE2.75MW,0,4314410440,FLYAB01,加拿大,,G034,FLYAB01G034
加拿大德芙琳风电场,15182283,WT10441,3.13,GE2.75MW,0,4314410441,FLYAB01,加拿大,,G035,FLYAB01G035
加拿大德芙琳风电场,15182283,WT10438,4.01,GE2.75MW,0,4314410438,FLYAB01,加拿大,,G036,FLYAB01G036
加拿大德芙琳风电场,15182283,WT10462,4.02,GE1.6-82.5ESS,0,4314410462,FLYAB01,加拿大,,G037,FLYAB01G037
加拿大德芙琳风电场,15182283,WT10461,4.03,GE1.6-82.5ESS,0,4314410461,FLYAB01,加拿大,,G038,FLYAB01G038
加拿大德芙琳风电场,15182283,WT10460,4.04,GE1.6-82.5ESS,0,4314410460,FLYAB01,加拿大,,G039,FLYAB01G039
加拿大德芙琳风电场,15182283,WT10455,4.05,GE1.6-82.5ESS,0,4314410455,FLYAB01,加拿大,,G040,FLYAB01G040
加拿大德芙琳风电场,15182283,WT10456,4.06,GE1.6-82.5ESS,0,4314410456,FLYAB01,加拿大,,G041,FLYAB01G041
加拿大德芙琳风电场,15182283,WT10448,4.07,GE1.6-82.5ESS,0,4314410448,FLYAB01,加拿大,,G042,FLYAB01G042
加拿大德芙琳风电场,15182283,WT10432,4.08,GE2.75MW,0,4314410432,FLYAB01,加拿大,,G043,FLYAB01G043
加拿大德芙琳风电场,15182283,WT10431,4.09,GE2.75MW,0,4314410431,FLYAB01,加拿大,,G044,FLYAB01G044
加拿大德芙琳风电场,15182283,WT10454,4.1,GE1.6-82.5ESS,0,4314410454,FLYAB01,加拿大,,G045,FLYAB01G045
加拿大德芙琳风电场,15182283,WT10458,4.11,GE1.6-82.5ESS,0,4314410458,FLYAB01,加拿大,,G046,FLYAB01G046
加拿大德芙琳风电场,15182283,WT10459,4.12,GE1.6-82.5ESS,0,4314410459,FLYAB01,加拿大,,G047,FLYAB01G047
加拿大德芙琳风电场,15182283,WT10437,4.13,GE2.75MW,0,4314410437,FLYAB01,加拿大,,G048,FLYAB01G048
加拿大德芙琳风电场,15182283,WT10436,4.14,GE2.75MW,0,4314410436,FLYAB01,加拿大,,G049,FLYAB01G049
来安杨郢风电场,1239200,WT05677,A1,EN87-1500,0,4314405677,FLYAH01,安徽,,G001,FLYAH01G001
来安杨郢风电场,1239200,WT05678,A2,EN87-1500,0,4314405678,FLYAH01,安徽,,G002,FLYAH01G002
来安杨郢风电场,1239200,WT05679,A3,EN87-1500,0,4314405679,FLYAH01,安徽,,G003,FLYAH01G003
来安杨郢风电场,1239200,WT05680,A4,EN87-1500,0,4314405680,FLYAH01,安徽,,G004,FLYAH01G004
来安杨郢风电场,1239200,WT05681,A5,EN87-1500,0,4314405681,FLYAH01,安徽,,G005,FLYAH01G005
来安杨郢风电场,1239200,WT05682,A6,EN87-1500,0,4314405682,FLYAH01,安徽,,G006,FLYAH01G006
来安杨郢风电场,1239200,WT05683,A7,EN87-1500,0,4314405683,FLYAH01,安徽,,G007,FLYAH01G007
来安杨郢风电场,1239200,WT05684,A8,EN87-1500,0,4314405684,FLYAH01,安徽,,G008,FLYAH01G008
来安杨郢风电场,1239200,WT05685,A9,EN87-1500,0,4314405685,FLYAH01,安徽,,G009,FLYAH01G009
来安杨郢风电场,1239200,WT05686,A10,EN87-1500,0,4314405686,FLYAH01,安徽,,G010,FLYAH01G010
来安杨郢风电场,1239200,WT05687,A11,EN87-1500,0,4314405687,FLYAH01,安徽,,G011,FLYAH01G011
来安杨郢风电场,1239200,WT05688,A12,EN87-1500,0,4314405688,FLYAH01,安徽,,G012,FLYAH01G012
来安杨郢风电场,1239200,WT05689,A13,EN87-1500,0,4314405689,FLYAH01,安徽,,G013,FLYAH01G013
来安杨郢风电场,1239200,WT05690,A14,EN87-1500,0,4314405690,FLYAH01,安徽,,G014,FLYAH01G014
来安杨郢风电场,1239200,WT05691,A15,EN87-1500,0,4314405691,FLYAH01,安徽,,G015,FLYAH01G015
来安杨郢风电场,1239200,WT05692,A16,EN87-1500,0,4314405692,FLYAH01,安徽,,G016,FLYAH01G016
来安杨郢风电场,1239200,WT05693,A17,EN87-1500,0,4314405693,FLYAH01,安徽,,G017,FLYAH01G017
来安杨郢风电场,1239200,WT05694,A18,EN87-1500,0,4314405694,FLYAH01,安徽,,G018,FLYAH01G018
来安杨郢风电场,1239200,WT05695,A19,EN87-1500,0,4314405695,FLYAH01,安徽,,G019,FLYAH01G019
来安杨郢风电场,1239200,WT05696,A20,EN87-1500,0,4314405696,FLYAH01,安徽,,G020,FLYAH01G020
来安杨郢风电场,1239200,WT05697,A21,EN87-1500,0,4314405697,FLYAH01,安徽,,G021,FLYAH01G021
来安杨郢风电场,1239200,WT05698,A22,EN87-1500,0,4314405698,FLYAH01,安徽,,G022,FLYAH01G022
来安杨郢风电场,1239200,WT05699,A23,EN87-1500,0,4314405699,FLYAH01,安徽,,G023,FLYAH01G023
来安杨郢风电场,1239200,WT05700,A24,EN87-1500,0,4314405700,FLYAH01,安徽,,G024,FLYAH01G024
来安杨郢风电场,1239200,WT05701,A25,EN87-1500,0,4314405701,FLYAH01,安徽,,G025,FLYAH01G025
来安杨郢风电场,1239200,WT05702,A26,EN87-1500,0,4314405702,FLYAH01,安徽,,G026,FLYAH01G026
来安杨郢风电场,1239200,WT05703,A27,EN87-1500,0,4314405703,FLYAH01,安徽,,G027,FLYAH01G027
来安杨郢风电场,1239200,WT05704,A28,EN87-1500,0,4314405704,FLYAH01,安徽,,G028,FLYAH01G028
来安杨郢风电场,1239200,WT05705,A29,EN87-1500,0,4314405705,FLYAH01,安徽,,G029,FLYAH01G029
来安杨郢风电场,1239200,WT05706,A30,EN87-1500,0,4314405706,FLYAH01,安徽,,G030,FLYAH01G030
来安杨郢风电场,1239200,WT05707,A31,EN87-1500,0,4314405707,FLYAH01,安徽,,G031,FLYAH01G031
来安杨郢风电场,1239200,WT05708,A32,EN87-1500,0,4314405708,FLYAH01,安徽,,G032,FLYAH01G032
来安杨郢风电场,1239200,WT05709,A33,EN87-1500,0,4314405709,FLYAH01,安徽,,G033,FLYAH01G033
来安杨郢风电场,1239200,WT05710,B1,EN87-1500,0,4314405710,FLYAH01,安徽,,G034,FLYAH01G034
来安杨郢风电场,1239200,WT05711,B2,EN87-1500,0,4314405711,FLYAH01,安徽,,G035,FLYAH01G035
来安杨郢风电场,1239200,WT05712,B3,EN87-1500,0,4314405712,FLYAH01,安徽,,G036,FLYAH01G036
来安杨郢风电场,1239200,WT05713,B4,EN87-1500,0,4314405713,FLYAH01,安徽,,G037,FLYAH01G037
来安杨郢风电场,1239200,WT05714,B5,EN92-1500,0,4314405714,FLYAH01,安徽,,G038,FLYAH01G038
来安杨郢风电场,1239200,WT05715,B6,EN87-1500,0,4314405715,FLYAH01,安徽,,G039,FLYAH01G039
来安杨郢风电场,1239200,WT05716,B7,EN87-1500,0,4314405716,FLYAH01,安徽,,G040,FLYAH01G040
来安杨郢风电场,1239200,WT05717,B8,EN87-1500,0,4314405717,FLYAH01,安徽,,G041,FLYAH01G041
来安杨郢风电场,1239200,WT05718,B9,EN87-1500,0,4314405718,FLYAH01,安徽,,G042,FLYAH01G042
来安杨郢风电场,1239200,WT05719,B10,EN87-1500,0,4314405719,FLYAH01,安徽,,G043,FLYAH01G043
来安杨郢风电场,1239200,WT05720,B11,EN87-1500,0,4314405720,FLYAH01,安徽,,G044,FLYAH01G044
来安杨郢风电场,1239200,WT05721,B12,EN87-1500,0,4314405721,FLYAH01,安徽,,G045,FLYAH01G045
来安杨郢风电场,1239200,WT05722,B13,EN87-1500,0,4314405722,FLYAH01,安徽,,G046,FLYAH01G046
来安杨郢风电场,1239200,WT05723,B14,EN87-1500,0,4314405723,FLYAH01,安徽,,G047,FLYAH01G047
来安杨郢风电场,1239200,WT05724,B15,EN87-1500,0,4314405724,FLYAH01,安徽,,G048,FLYAH01G048
来安杨郢风电场,1239200,WT05725,B16,EN87-1500,0,4314405725,FLYAH01,安徽,,G049,FLYAH01G049
来安杨郢风电场,1239200,WT05726,B17,EN87-1500,0,4314405726,FLYAH01,安徽,,G050,FLYAH01G050
来安杨郢风电场,1239200,WT05727,B18,EN87-1500,0,4314405727,FLYAH01,安徽,,G051,FLYAH01G051
来安杨郢风电场,1239200,WT05728,B19,EN87-1500,0,4314405728,FLYAH01,安徽,,G052,FLYAH01G052
来安杨郢风电场,1239200,WT05729,B20,EN87-1500,0,4314405729,FLYAH01,安徽,,G053,FLYAH01G053
来安杨郢风电场,1239200,WT05730,B21,EN87-1500,0,4314405730,FLYAH01,安徽,,G054,FLYAH01G054
来安杨郢风电场,1239200,WT05731,B22,EN87-1500,0,4314405731,FLYAH01,安徽,,G055,FLYAH01G055
来安杨郢风电场,1239200,WT05732,B23,EN87-1500,0,4314405732,FLYAH01,安徽,,G056,FLYAH01G056
来安杨郢风电场,1239200,WT05733,B24,EN87-1500,0,4314405733,FLYAH01,安徽,,G057,FLYAH01G057
来安杨郢风电场,1239200,WT05734,B25,EN87-1500,0,4314405734,FLYAH01,安徽,,G058,FLYAH01G058
来安杨郢风电场,1239200,WT05735,B26,EN87-1500,0,4314405735,FLYAH01,安徽,,G059,FLYAH01G059
来安杨郢风电场,1239200,WT05736,B27,EN87-1500,0,4314405736,FLYAH01,安徽,,G060,FLYAH01G060
